,Unnamed: 0,question,label,prediction
0,0,Bạn thích ẩm thực nước ngoài không?,other,other
1,1,Nếu có cơ hội bạn muốn đi du lịch đến đâu?,other,other
2,2,Bạn có bất kỳ sở thích nào đặc biệt không?,other,other
3,3,Ý nghĩa của cuộc sống đối với bạn là gì?,other,other
4,4,Bạn có thích đọc sách không? Nếu có thể loại sách nào bạn thích nhất?,other,other
5,5,Bạn nghĩ gì về công nghệ trong cuộc sống hàng ngày?,other,other
6,6,Nếu bạn có thể thay đổi một điều trong thế giới này bạn sẽ thay đổi điều gì?,other,other
7,7,Bạn thích những bộ phim thể loại gì?,other,other
8,8,Bạn có một kỷ niệm đáng nhớ nào không?,other,other
9,9,Bạn đã từng tham gia vào hoạt động tình nguyện không?,other,other
10,10,Bạn có thích thể thao không? Thể loại thể thao nào bạn yêu thích nhất?,other,other
11,11,Bạn tin vào vận may và số phận không,other,other
12,12,Bạn thường làm gì để giải stress?,other,other
13,13,Nếu có thể chọn một nghề nào đó bạn sẽ chọn nghề gì?,other,other
14,14,Bạn có sở thích nấu ăn không? Món ăn nào bạn biết nấu ngon nhất?,other,other
15,15,Bạn nghĩ gì về việc du học?,other,other
16,16,Bạn có một mục tiêu lớn trong cuộc đời không? Nếu có đó là gì?,other,other
17,17,Bạn có muốn có thú cưng không? Nếu có bạn muốn nuôi loài gì?,other,other
18,18,Bạn thích nghe nhạc không? Thể loại nhạc nào bạn thích nhất?,other,other
19,19,Bạn nghĩ gì về việc học ngoại ngữ?,other,other
20,20,Bạn có phim hoạt hình hoặc phim hoạt hình yêu thích không?,other,other
21,21,Bạn đã từng thử một loại thức ăn mới nào gần đây chưa?,other,other
22,22,Bạn có thích đọc tin tức hàng ngày không? Nếu có bạn thường đọc trên các phương tiện truyền thông nào?,other,other
23,23,Bạn thường dành thời gian của mình vào những hoạt động gì vào cuối tuần?,other,other
24,24,Bạn có một trải nghiệm đặc biệt nào từ việc làm tình nguyện không?,other,other
25,25,Bạn nghĩ gì về việc sử dụng công nghệ trong giáo dục?,other,other
26,26,Bạn có một ước mơ nào bạn muốn thực hiện trong tương lai không?,other,other
27,27,Bạn đã từng đi du lịch đến một đất nước nào đó xa xôi chưa?,other,other
28,28,Bạn nghĩ gì về việc nuôi cây và trồng rau trong nhà?,other,other
29,29,Bạn thích tham gia vào các hoạt động nghệ thuật như vẽ tranh hoặc sáng tác âm nhạc không?,other,other
